nomis_agency_id,postcode
MDSTMC,ME15 6LL
MANCCT,M60 9DJ
MNCHCT,M3 3JU
MNCHMC,M60 1PR
MNSFCT,NG18 1EU
MNSFMC,NG19 6EE
MRGTMC,CT9 1BD
MDWYCT,ME4 4DW
MEDWMC,ME4 4JZ
MLTNCT,LE13 1JY
MDDLMC,TS1 2AS
MDDLCT,TS1 2AE
MLTKCT,MK9 2DT
MLTKMC,MK9 2AJ
MOLDCT,CH7 1AE
NEATCT,SA13 1SB
NLSNCT,BB9 9SU
NWRKCT,NG24 1XB
NWBRCT,RG14 5BY
NWCSCT,NE1 3LA
NWCSCC,NE1 1RQ
STRAMC,E15 4SB
NWPRCT,PO30 5YT
NWPRCC,NP20 4PR
NEWPMC,NP20 4PR
NWPWCT,NP19 7AA
NWTAMC,TQ12 1LA
NWAYMC,DL5 5RT
NRTSCT,NE30 1AG
NRTSMC,NE30 1AG
NORSMC,BS23 1UX
NEWLMC,ST5 2DG
NORAMC,DL7 8QZ
NRTHCC,NN1 3HQ
NRTHMC,NN1 3EB
NRTWCT,CW9 5DB
NORWCT,NR3 1UR
NORWCC,NR3 1UR
NORWMC,NR3 1UP
NOTTCT,NG1 7EJ
NOTTCC,NG1 7EL
NOTTMC,NG2 1EE
NUNTCT,CV11 4EL
NHWKMC,CV11 4JU
OLDHCT,OL1 1NL
OSWSCT,SY11 2SN
OXFDCT,OX1 1TL
OXFDCC,OX1 1TL
OXFRMC,OX1 1RZ
PENRCT,CA11 7QL
PENZCT,TR18 4GH
PBORCT,PE1 1EJ
PBORCC,PE1 1EJ
PBORMC,PE1 1ED
PTRLMC,SR8 1QR
PLYMCC,PL1 2ER
PLYMMC,PL1 2DP
PONTCT,WF8 1RJ
PNTPCT,NP4 6NZ
PNTYCT,CF37 1JR
POOLCT,BN15 2NS
POOLMC,BH15 2RH
PRTSCC,PO1 2EB
PRTSMC,PO1 2DQ
PRCORC,PR2 9NB
PRESCT,PR1 2LL
PRESCC,PR1 2LL
PRSHCC,PR1 2QY
PRESMC,PR1 2QT
RWTNCT,BB4 7RT
READCT,RG1 1HE
READCC,RG1 3EH
READMC,RG1 7TQ
RDDTCT,B97 4AB
RDDTMC,B98 8DB
REIGCT,RH1 6BL
RMFRCT,RM1 4DP
RMFRMC,RM1 3BH
ROTHCT,S60 1YW
RGBYCT,CV21 2RN
RHYLCT,LL18 3LA
SLFRCT,M5 4RR
SALSCT,SP1 2PN
SCRBCT,YO11 2JS
SCARMC,YO12 7AE
SCUNCT,DN15 6PR
SEFTMC,L20 3XX
SEVNMC,TN13 2UT
SHEFCT,S3 8PH
SHEFMC,S3 8LU
SHRDCT,EC2A 4AL
SHRWCT,SY1 1NA
SHRWCC,SY2 6LU
SKEGCT,PE25 1DA
SKIPCT,BD23 1EH
SKIPMC,BD23 1RQ
SLOUCT,SL1 2HE
SLOUMC,SL1 2HJ
SNARCC,E11 1QW
STHSCT,NE33 1AG
STHMMC,NE33 1RG
SOUTMC,SO17 1EX
STHMCT,SO15 2XQ
SOUTCC,SO15 2XQ
STHNCT,SS1 2AW
SOUTCT,PR9 0PU
STHWCC,SE1 2HU
STHECT,WA10 1SE
STALCT,AL1 3TJ
STALCC,AL1 3JW
STALMC,AL1 3LB
STAFCT,ST16 2QQ
STAICT,TW18 1XH
STAIMC,TW18 1XR
STEVMC,SG1 1JQ
STOCCT,Sk1 3DJ
STOCMC,SK1 3NF
STOAIT,ST1 2QB
STOKCT,ST1 3BP
STOUCT,DY8 1QL
STRFCT,CV37 6PA
SUNDCT,SR1 1RB
CUCOCT,GU22 7AP
SWNSCT,SA1 1SP
SWANCC,SA1 4PF
SWNGMC,SA1 5DB
SWINCC,SN1 2HG
SWINMC,SN1 2JB
TAMWCT,B79 7AJ
TAUNCT,TA1 4EU
TAUNCC,TA1 4EU
TAUNMC,TA1 4AX
TEESCC,TS1 2AE
TELFCT,TF3 4JP
TELFMC,TF3 4HX
THMSMC,E3 4DJ
THANCT,CT9 1EQ
CITYCT,EC2V 5AR
TORQCT,TQ2 7AZ
TRWBCT,BA14 8DB
TRURCC,TR1 2PB
TRURMC,TR1 1HZ
UXBRCT,UB4 8HL
UXBRMC,UB8 1PQ
WAKFCT,WF1 1JW
WALSCT,WS1 1JQ
WLSSMC,WS2 8HA
WNDSCT,SW15 2SU
WRWCCT,CV34 4RB
WATFCT,WD1 1EZ
WELBCT,NN8 4NF
WELBMC,NN8 1HF
WLSHCT,SY21 7UX
WLSHMC,SY21 7JQ
WLONCT,W14 8SZ
WESTMC,NW1 5BR
WSPMCT,BS23 1JF
WEYMMC,DT4 8BS
WHTHCT,CA28 7NU
WIGNCT,WN11NG
WIGNMC,WN1 1DW
BRENMC,NW10 2DZ
WILSCT,NW10 8SB
WMBLMC,SW19 7JP
WNCHCT,SO23 9EL
WNCHCC,SO23 9EL
WLVRCC,WV1 3LQ
WLVRMC,WV1 1RA
WDGRCC,N22 5LF
WOOLCC,SE28 0EY
WOOLMC,SE18 6QY
WRCSCC,WR1 1EQ
WRCSMC,WR1 3AD
WORNMC,CA14 4AS
WORKCT,S80 1LN
WORTCT,SO23 9EL
WORTMC,BN11 1JE
WREXCT,LL13 8BB
WREXMC,LL12 7AG
YEOVCT,BA20 2QD
YEOVMC,BA20 1SW
YORKCT,YO1 9WL
YORKCC,YO1 9WZ
YORKMC,YO1 9RE
DP1,SY23 1PH
TVP1,OX14 1AU
MPS1,W3 9BH
DP2,SA18 2LS
GMP3,OL7 0BQ
TVP5,HP21 7NA
NFL1,NR11 6FD
TVP6,OX16 1AS
MPS15,IG11 7NF
SYP1,S70 2DL
DC1,EX31 1DU
CMB2,LA14 2LE
DSW03,CF63 1TD
ESX1,SS14 1EJ
HNT1,RG22 4BS
LCS1,LE4 1DS
BDS2,MK40 1HR
BDS2,MK43 9AX
NRU5,NE22 7LA
MRS3,L25 2PL
NRU6,TD15 1DZ
MPS2,E2 9NZ
MPS16,DA7 4QS
DHM1,DL14 6LB
CLP1,EC2M 4NP
LAN3,BB1 3HT
LAN4,FY44 FG
CHE1,CH1  5BD
WMP7,WS3 2PD
GMP4,BL2 1HY
LNC1,PE21 8QS
DST1,BH1 1QQ
D20BM1,B30 1QX
WYP8,BD10 8SD
WYP4,BD5 0EU
ESX8,CM7 3DJ
DP4,LD3 7AU
BTP4,N7 9ED
NTS1,NG2 1EE
SWL2,CF31 1BZ
AVS3,TA6 3EU
HBS020,YO16 4EW
SUS1,BN1 8AF
MPS3,SW9 7DD
MPS17,BR1 3BG
LAN5,BB10 2NQ
STF1,DE14 1PA
GMP5,BL9 0RD
SFL1,IP33 2RT
NWA1,LL55 1BU
WYP1,HX1 5TW
DC2,TR14 8SY
CAM1,CB1 1JG
KNT1,CT1 3JQ
SWL1,CF10 5EW
DP5,SA43 1BZ
CMB1,CA1 3NQ
BTP1,W1T 2RA
WMP13,CV3 3PS
MPS18,WC2N 4JP
MPS19,WC2N 4JP
GMP1,SK3 0SA
ESX2,CM1 1NF
DHM8,S40 1QP
DRB2,DH3 3TY
SUS7,PO19 2AD
CHIN01,E4 7EA
WLT2,SN15 1ER 
ESX3,CO15 1ET
HMB2,HU5 1SW
ESX4,CO3 3BU
MPS4,NW9 5TW
DHM4,DH8 5DH
MRS1,L30 7PR
NTH1,NN17 1SH
SUS4,RH10 2BF
MPS20,CR9 1BP
DHM2,DL1 5LB
NTH2,NN11 4BS
WYP5,WF12 8AR
NWA2,LL40 2YT
SYP2,DN1 3HX
DHM3,DH1 3AQ
SUS5,BN21 4UF
MPS21,N9 0PW
WYP3,LS11 8BU
LCS2,LE2 7ST
DC4,EX1 2LR
KNT4,CT20 2SG
MPS5,E7 8BS
NRU3,NE13 PH
DBS009,SK13 8BX
LNC2,NG31 7XT
ESX5,RM17 5BX
NFL2,NR31 0DN
HBS019,DN31 1PE
SRY016,GU1 4PZ
MPS22,W6 8AU
STF040,ST1 3DR
ESX6,CM20 1HG
NYK1,HG3 1FR
MPS33,HA2 0DN
MPS34,W9 3RD
SUS2,TN34 1JJ
DP6,SA61 1PF
MPS23,TW6 2DJ
WWM1,HR1 2HT
TVP2,HP11 1BE
NWA6,LL65 1HG
MPS30,TW3 1LB
CAM3,PE29 6NP
MPS7,IG1 1GT
MPS8,N1 0YY
CMB3,LA9 4RH
LDM177,W8 6EQ
MPS31,NW5 3AE
NTT3,NN14 1UE
LCS3,LE5 1FY
AVS1,BS31 1SX
WWM2,DY11 6AN
NFL5,PE34 3AG
MPS9,KT1 1LB
LAN1,LA1 1YB
DC8,PL15 7HY
WWM5,CV32 4LX
MPS24,SE13 7UR
MPS25,E10 6NJ
LNC3,LN1 1YP
WMP2,CV1 2JX
NWA8,LL30 1DN
DP7,SA15 3AD
NWA9,LL77 7EN
NWA5,LL12 0PG
TVP7,RG6 4HR
GMP2,M13 0LL
STF005,ST3 1HH
BDS1,LU1 1SD
HPS046,SO43 7NR
CHS009,SK10 1HQ
TVP8,SL6 6PB
KNT5,ME15 7SG
WWM4,TF3 4HW
GMP13,M90 1NN
NTS2,NG18 2HQ
CAM4,PE15 NRB
KNT2,CT9 1HL
SFL2,IP5 3QS
KNT3,ME7 1NE
WLT1,SN12 6QQ
SWL3,CF47 8ES
NRU1,NE28 9NT
CVL3,TS2 1AB
CHE2,CW10 0TE
TVP3,MK9 2DS
NWA7,CH7 1EF
